File: graphite-benchmark-profile
Type: alloc_space
Time: Sep 8, 2026 at 3:24pm (KST)
Showing nodes accounting for 16339.56MB, 100% of 16339.56MB total
Showing top 100 nodes out of 143
      flat  flat%   sum%        cum   cum%
    0.50MB 0.0031%   100%     0.50MB 0.0031%  reflect.packEface
         0     0%   100%     2.97MB 0.018%  compress/gzip.(*Writer).Write
         0     0%   100%     1.50MB 0.0092%  github.com/johnsonlee/graphite/graphite-server/internal/benchmarkcase.CanonicalResult.func1
         0     0%   100%     1.50MB 0.0092%  github.com/johnsonlee/graphite/graphite-server/internal/benchmarkcase.canonicalValue
         0     0%   100%     1.50MB 0.0092%  github.com/johnsonlee/graphite/graphite-server/internal/benchmarkcase.javaLess
         0     0%   100%     6.69MB 0.041%  github.com/johnsonlee/graphite/graphite-server/internal/benchmarkcase.sequence
         0     0%   100%  5308.66MB 32.49%  github.com/johnsonlee/graphite/graphite-server/internal/javaregex.(*matcher).sequence
         0     0%   100%  5186.16MB 31.74%  github.com/johnsonlee/graphite/graphite-server/internal/javaregex.(*matcher).sequence.func1
         0     0%   100%  5186.16MB 31.74%  github.com/johnsonlee/graphite/graphite-server/internal/javaregex.(*matcher).simpleRepeat
         0     0%   100%   346.52MB  2.12%  github.com/johnsonlee/graphite/graphite-server/internal/javastring.Case
         0     0%   100%    61.50MB  0.38%  github.com/johnsonlee/graphite/graphite-server/internal/query.(*candidateSlot).property
         0     0%   100%  7216.13MB 44.16%  github.com/johnsonlee/graphite/graphite-server/internal/query.ExecuteCrossWithOptions
         0     0%   100%   612.58MB  3.75%  github.com/johnsonlee/graphite/graphite-server/internal/query.distinctVisibleKey
         0     0%   100%  6261.30MB 38.32%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.binary
         0     0%   100%  7216.13MB 44.16%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.branch
         0     0%   100%   346.52MB  2.12%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctAtomMatches
         0     0%   100%    77.51MB  0.47%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctRawRows.func1
         0     0%   100%    70.01MB  0.43%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctRawRows.func2
         0     0%   100%  3138.10MB 19.21%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctSourcePrefix
         0     0%   100%    88.01MB  0.54%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctStringTableID
         0     0%   100%  6261.30MB 38.32%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.eval
         0     0%   100%   142.30MB  0.87%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.indexedDistinct
         0     0%   100%     0.50MB 0.0031%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.indexedDistinct.func1
         0     0%   100%  2997.30MB 18.34%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.indexedDistinct.func2
         0     0%   100%  6020.98MB 36.85%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.indexedDistinct.func4
