File: graphite-benchmark-profile
Type: cpu
Time: Sep 8, 2026 at 5:05pm (KST)
Duration: 1.61s, Total samples = 48.76s (3026.89%)
Showing nodes accounting for 48.76s, 100% of 48.76s total
      flat  flat%   sum%        cum   cum%
         0     0% 99.90%      0.01s 0.021%  github.com/johnsonlee/graphite/graphite-server/internal/query.failMainStringRead
         0     0% 99.90%      0.01s 0.021%  github.com/johnsonlee/graphite/graphite-server/internal/query.provenance
     0.01s 0.021% 99.92%      0.01s 0.021%  indexbytebody
         0     0% 99.92%      0.01s 0.021%  internal/bytealg.MakeNoZero
         0     0% 99.92%      0.01s 0.021%  runtime.(*mcache).nextFree
         0     0% 99.92%      0.01s 0.021%  runtime.(*mcache).refill
         0     0% 99.92%      0.01s 0.021%  runtime.(*mcentral).cacheSpan
         0     0% 99.92%      0.01s 0.021%  runtime.(*mcentral).grow
         0     0% 99.92%      0.01s 0.021%  runtime.(*mheap).alloc
         0     0% 99.92%      0.01s 0.021%  runtime.(*mheap).alloc.func1
     0.01s 0.021% 99.94%      0.01s 0.021%  runtime.(*mheap).allocNeedsZero
         0     0% 99.94%      0.01s 0.021%  runtime.(*mheap).allocSpan
         0     0% 99.94%      0.01s 0.021%  runtime.(*mheap).initSpan
     0.01s 0.021%   100%      0.01s 0.021%  runtime.duffzero
         0     0%   100%      0.01s 0.021%  runtime.gopreempt_m
         0     0%   100%      0.01s 0.021%  runtime.goschedImpl
         0     0%   100%      0.01s 0.021%  runtime.mallocgc
     0.01s 0.021%   100%      0.01s 0.021%  runtime.mapaccess1_faststr
         0     0%   100%      0.01s 0.021%  runtime.morestack
         0     0%   100%      0.01s 0.021%  runtime.newstack
         0     0%   100%      0.01s 0.021%  strings.(*Builder).Grow
     0.01s 0.021%   100%      0.01s 0.021%  strings.(*Builder).String
         0     0%   100%      0.01s 0.021%  strings.(*Builder).grow
         0     0%   100%      0.01s 0.021%  strings.Contains
         0     0%   100%      0.01s 0.021%  strings.Index
         0     0%   100%      0.01s 0.021%  strings.IndexByte
         0     0%   100%      0.01s 0.021%  sync.(*RWMutex).RLock
         0     0%   100%      0.01s 0.021%  sync.runtime_SemacquireRWMutexR
