id	family	shape	projection	workloadIdentity	outcome	rowCount	digest	latencyNanos	hitGraphIds	inputSourceCount	resetMode	graphWorkUnits	filteredNodeLimitFastPathExecutions	generalFallbackExecutions
or-four-broad-rows	multi-keyword	or-four-broad-rows	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	33895541	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct	multi-keyword	or-four-broad-distinct	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	148464666	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-single-early-rows	multi-keyword	or-four-single-early-rows	properties	3b3719887f29b75e4ef36051eb318d8d507f6de0d6e7480b774b14a518091f8e	success	200	7b4f86c9c71a64e4e67b6f2cb7610e992eed21c5489e5f994886cb2d31d43a88	13770250	fixture-android-00	64	per-query-cold	1159025	1	0
or-four-single-early-distinct	multi-keyword	or-four-single-early-distinct	distinct-properties	4153efdaa8a0e89dbb22c06693128b5f03a844e56b1082582eec532b7e8741d6	success	200	88695151ea0fdeaedf78856def6fea45b5f897a124c9a9ee708e5172583e0f5c	151335709	fixture-android-00	64	per-query-cold	57731891	1	0
or-four-single-middle-rows	multi-keyword	or-four-single-middle-rows	properties	512454508f46630c153dbecb6ab05c59d46141d43934c5a89b5a182d5b6d3433	success	200	3bd01b10601e5249ab5e18c5975374ab3fde6cd988b191d86d575e51316074ab	93942167	fixture-tika-15	64	per-query-cold	31119327	1	0
or-four-single-middle-distinct	multi-keyword	or-four-single-middle-distinct	distinct-properties	288870c4237fbc0c7e1651113716be10ed44a14b171f574160f675b37bc817a3	success	200	3bd01b10601e5249ab5e18c5975374ab3fde6cd988b191d86d575e51316074ab	146085292	fixture-tika-15	64	per-query-cold	57710259	1	0
or-four-single-late-rows	multi-keyword	or-four-single-late-rows	properties	f97dec216ed2c093efd5a126288c2f054268a9ee33d10d0838b69716b2ae0280	success	200	7f82eb1a1222553adb0b862251630a1c90478c54f43ea46eafbad88ed3c6b2d9	147816792	fixture-kotlin-compiler-15	64	per-query-cold	57698955	1	0
or-four-single-late-distinct	multi-keyword	or-four-single-late-distinct	distinct-properties	1c18e6917213413db13a6884fb01f8a1136069ef9723999c3aa40db564094218	success	200	a52fc2ca9463baa6910a43e59a96450a95b40e4490f103cac306a711d1e3039d	147453667	fixture-kotlin-compiler-15	64	per-query-cold	57703697	1	0
or-four-few-early-late-rows	multi-keyword	or-four-few-early-late-rows	properties	5fbf5986b1b56e48609355ab591f0ab61a9c99069d2ec6dd07f00d42b0f5c581	success	200	98ab8b3888fbfe23d1757ed2348194c5701c18d371cedd4beb75f665eee5aa5c	13774834	fixture-android-00	64	per-query-cold	1158850	1	0
or-four-few-early-late-distinct	multi-keyword	or-four-few-early-late-distinct	distinct-properties	bff4548c1fbc1ebca2c7288f28cfa430664b4f3e61dc84c01aeb3370367e6fd7	success	200	6c8cc0b81657ec613fc85c0c26ccdf2d39cb9674f617ad0d44318771ad6ee3b9	148020916	fixture-android-00	64	per-query-cold	57729887	1	0
or-four-all-rows	multi-keyword	or-four-all-rows	properties	2a30cf7a17fcab02da2db3a220b4bca963e85411f3dc9be03661ea46d94608a2	success	200	85c6640dc2a6e1c81063855f903a520a90676b0adfb19b54416b1951c698e5f6	11771583	fixture-android-00	64	per-query-cold	1123138	1	0
or-four-all-distinct	multi-keyword	or-four-all-distinct	distinct-properties	3aff398bacefb6741cd3b3e389d8fdb7d7b3bcc9bd279c3170683554e9c68863	success	200	ce74ec59e326b25f31322ea05e9d1ac4fbaf71559a32c117411bef66d0a13df4	175411958	fixture-android-00,fixture-tika-00	64	per-query-cold	58084676	1	0
