File: graphite-benchmark-profile
Type: cpu
Time: Sep 8, 2026 at 5:05pm (KST)
Duration: 1.82s, Total samples = 49.39s (2720.53%)
Showing nodes accounting for 49.39s, 100% of 49.39s total
Showing top 100 nodes out of 165
      flat  flat%   sum%        cum   cum%
         0     0%   100%     18.03s 36.51%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.indexedDistinct.func4
         0     0%   100%      0.22s  0.45%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.javaCase (inline)
         0     0%   100%     15.96s 32.31%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.mainStringCandidatesExcludingCallSites.evaluator.mainMergeNodeSequences.func3
         0     0%   100%     15.96s 32.31%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.mainStringCandidatesExcludingCallSites.evaluator.mainMergeNodeSequences.func3.1
         0     0%   100%      0.03s 0.061%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.stringPredicate
         0     0%   100%      0.01s  0.02%  github.com/johnsonlee/graphite/graphite-server/internal/query.executeSources
         0     0%   100%      0.04s 0.081%  github.com/johnsonlee/graphite/graphite-server/internal/query.failMainStringRead
         0     0%   100%     18.03s 36.51%  github.com/johnsonlee/graphite/graphite-server/internal/query.runDistinctTasks[go.shape.map[string]bool].func1.1
         0     0%   100%      1.40s  2.83%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).ProjectionArrayString
         0     0%   100%      1.87s  3.79%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).ProjectionString
         0     0%   100%      0.02s  0.04%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).ProjectionStringIDs
         0     0%   100%      0.02s  0.04%  internal/bytealg.MakeNoZero
         0     0%   100%      0.01s  0.02%  main.newWorker.func1
         0     0%   100%      0.03s 0.061%  runtime.(*gcBits).bitp
         0     0%   100%      0.23s  0.47%  runtime.(*gcControllerState).enlistWorker
         0     0%   100%      0.19s  0.38%  runtime.(*gcWork).balance
         0     0%   100%      0.05s   0.1%  runtime.(*gcWork).put
         0     0%   100%      0.03s 0.061%  runtime.(*mcache).nextFree
         0     0%   100%      0.02s  0.04%  runtime.(*mcentral).cacheSpan
         0     0%   100%      0.01s  0.02%  runtime.(*mcentral).grow
         0     0%   100%      0.01s  0.02%  runtime.(*mheap).alloc
         0     0%   100%      0.05s   0.1%  runtime.(*mheap).alloc.func1
         0     0%   100%      0.01s  0.02%  runtime.(*mheap).allocManual
         0     0%   100%      0.06s  0.12%  runtime.(*mheap).allocSpan
         0     0%   100%      0.02s  0.04%  runtime.(*mheap).freeSpan
         0     0%   100%      0.01s  0.02%  runtime.(*mheap).freeSpanLocked
         0     0%   100%      0.01s  0.02%  runtime.(*mheap).initSpan
         0     0%   100%      0.03s 0.061%  runtime.(*mspan).markBitsForIndex
         0     0%   100%      0.01s  0.02%  runtime.(*mspan).objIndex
         0     0%   100%      0.01s  0.02%  runtime.(*pageAlloc).free
         0     0%   100%      1.14s  2.31%  runtime.(*pageAlloc).scavenge.func1
         0     0%   100%      1.14s  2.31%  runtime.(*pageAlloc).scavengeOne
