  PID  %CPU    RSS COMM
  486   0.0   4352 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  487   0.0   9456 /System/Library/CoreServices/osanalyticshelper
  489   0.0   5152 /usr/libexec/audioclocksyncd
  492   0.0   3872 /usr/libexec/colorsync.displayservices
  493   0.0  31712 /usr/libexec/syspolicyd
  494   0.0  24880 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  495   0.0   4688 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
  496   0.0   2880 /usr/libexec/cryptexd
  498   0.0   8176 /usr/sbin/appleh13camerad
  499   0.0   6912 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  500   0.0  10416 /usr/libexec/audioanalyticsd
  501   0.0   8656 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  502   0.0   3840 /System/Library/PrivateFrameworks/ZhuGeSupport.framework/Versions/A/XPCServices/ZhuGeService.xpc/Contents/MacOS/ZhuGeService
  503   0.0   2464 /usr/sbin/distnoted
  504   0.0  16576 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  505   0.0   2064 /usr/sbin/distnoted
  511   0.0   4976 /usr/libexec/secinitd
  512   0.0   2880 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
  516   0.0   6720 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
  517   0.0   5088 /usr/libexec/securityd_system
  518   0.0   2240 /usr/sbin/cfprefsd
  520   0.0   5280 /usr/libexec/trustd
  522   0.0   3584 /usr/libexec/containermanagerd
  523   0.0   8224 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd
  524   0.0  10592 /usr/sbin/WirelessRadioManagerd
  525   0.0   6896 /usr/libexec/findmybeaconingd
  527   0.0   3056 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
  528   0.0   3696 /usr/libexec/colorsyncd
  529   0.2  46704 /usr/libexec/searchpartyd
  531   0.0   3888 /Library/PrivilegedHelperTools/com.docker.vmnetd
  533   0.0   3872 /usr/libexec/xpcroleaccountd
  536   0.0  13904 /System/Library/CoreServices/SubmitDiagInfo
  539   0.0  11696 /usr/libexec/wifianalyticsd
  540   0.0   2064 /usr/sbin/distnoted
  541   0.0   7600 /System/Library/CoreServices/appleeventsd
  542   0.0 160432 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  545   0.0    448 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial
  546   0.0    448 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers
  547   0.0  10432 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  548   0.0   6272 /usr/libexec/bootinstalld
  552   0.0   9840 /usr/libexec/rtcreportingd
  559   0.0   9248 /usr/libexec/symptomsd-diag
  569   0.0   2416 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
  572   0.0   3936 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  575   0.0  16000 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  576   0.0   4976 /usr/libexec/secinitd
  577   0.0   6096 /usr/libexec/countryd
  578   0.0   2256 /usr/sbin/cfprefsd
  580   0.0   5360 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
  582   0.0   5280 /usr/libexec/trustd
  583   0.0   2240 /usr/sbin/distnoted
  584   0.0   3568 /usr/libexec/containermanagerd
  589   0.0  13104 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  590   0.0   9744 /usr/sbin/distnoted
  591   0.0   6864 /usr/sbin/cfprefsd
  592   0.0   1840 /usr/libexec/securityd_service
  594   0.0   2752 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
  595   0.0  19520 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  596   0.0  18192 /usr/libexec/UserEventAgent
  597   0.0   8864 /usr/libexec/gamecontrollerd
  598   0.0   6352 /usr/libexec/seld
  600   0.0  19840 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  601   0.0  13744 /usr/sbin/universalaccessd
  602   0.0  21472 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  603   0.0  19696 /usr/libexec/lsd
  604   0.0  17296 /usr/libexec/findmydeviced
  605   0.0  12608 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
