Darwin johnsonlee.local 23.3.0 Darwin Kernel Version 23.3.0: Wed Dec 20 21:31:10 PST 2023; root:xnu-10002.81.5~7/RELEASE_ARM64_T6031 arm64 arm Darwin
hw.memsize: 68719476736
hw.logicalcpu: 16
machdep.cpu.brand_string: Apple M3 Max
go version go1.22.0 darwin/arm64

  PID  %CPU    RSS COMM
  482   0.0   5728 /usr/sbin/mDNSResponderHelper
  483   0.0   4512 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  485   0.0   7184 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
  486   0.0   4352 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  487   0.0  10800 /System/Library/CoreServices/osanalyticshelper
  489   0.0   5216 /usr/libexec/audioclocksyncd
  492   0.0   3872 /usr/libexec/colorsync.displayservices
  493   0.0  48608 /usr/libexec/syspolicyd
  494   0.0  79584 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  495   0.0   4688 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
  496   0.0   2880 /usr/libexec/cryptexd
  498   0.0   8176 /usr/sbin/appleh13camerad
  499   0.0   6944 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  500   0.0  10464 /usr/libexec/audioanalyticsd
  501   0.0  10544 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  502   0.0   3840 /System/Library/PrivateFrameworks/ZhuGeSupport.framework/Versions/A/XPCServices/ZhuGeService.xpc/Contents/MacOS/ZhuGeService
  503   0.0   2464 /usr/sbin/distnoted
  504   0.0  17152 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  505   0.0   2064 /usr/sbin/distnoted
  511   0.0   4976 /usr/libexec/secinitd
  512   0.0   2928 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
  516   0.0   6720 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
  517   0.0   6096 /usr/libexec/securityd_system
  518   0.0   2256 /usr/sbin/cfprefsd
  520   0.0   7776 /usr/libexec/trustd
  522   0.0   3584 /usr/libexec/containermanagerd
  523   0.0   8816 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd
  524   0.0  10592 /usr/sbin/WirelessRadioManagerd
  525   0.0   9328 /usr/libexec/findmybeaconingd
  527   0.0   3056 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
  528   0.0   3696 /usr/libexec/colorsyncd
  529   0.0  46880 /usr/libexec/searchpartyd
  531   0.0   3888 /Library/PrivilegedHelperTools/com.docker.vmnetd
  533   0.0   3872 /usr/libexec/xpcroleaccountd
  536   0.0  14240 /System/Library/CoreServices/SubmitDiagInfo
  539   0.0  14224 /usr/libexec/wifianalyticsd
  540   0.0   2064 /usr/sbin/distnoted
  541   0.0   8960 /System/Library/CoreServices/appleeventsd
  542   0.0 177344 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  545   0.0    448 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial
  546   0.0    448 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers
  547   0.0  10624 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  548   0.0   6272 /usr/libexec/bootinstalld
  552   0.0  12592 /usr/libexec/rtcreportingd
  559   0.0   9280 /usr/libexec/symptomsd-diag
  569   0.0   3536 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
  572   0.0   3936 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  575   0.0  16480 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  576   0.0   4976 /usr/libexec/secinitd
  577   0.0   6096 /usr/libexec/countryd
  578   0.0   2272 /usr/sbin/cfprefsd
  580   0.0   5600 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
  582   0.0   7696 /usr/libexec/trustd
  583   0.0   2240 /usr/sbin/distnoted
  584   0.0   3568 /usr/libexec/containermanagerd
  589   0.0  13232 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  590   0.0  10272 /usr/sbin/distnoted
  591   0.0   8064 /usr/sbin/cfprefsd
  592   0.0   1840 /usr/libexec/securityd_service
  594   0.0   3984 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
  595   0.0  16448 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  596   0.0  19696 /usr/libexec/UserEventAgent
  597   0.0   8912 /usr/libexec/gamecontrollerd
  598   0.0   6352 /usr/libexec/seld
  600   0.0  22736 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  601   0.0  15152 /usr/sbin/universalaccessd
  602   0.0  22224 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  603   0.0  20960 /usr/libexec/lsd
  604   0.0  19712 /usr/libexec/findmydeviced
  605   0.0  14432 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
  606   0.0   3184 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  607   0.0  20656 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter
  608   0.0   5456 /System/Library/CoreServices/APFSUserAgent
  610   0.0  26256 /usr/libexec/nsurlsessiond
  611   0.0  27632 /usr/libexec/rapportd
  612   0.0  27344 /usr/sbin/usernoted
  613   0.0  34192 /usr/libexec/routined
  614   0.0  12896 /usr/libexec/mobileactivationd
  616   0.0  20432 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  617   0.0  32848 /usr/libexec/secd
  618   0.0  10576 /System/Library/CoreServices/lockoutagent
  619   0.0   8752 /usr/libexec/secinitd
  620   0.0  15536 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  621   0.0  21520 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  622   0.0  12272 /usr/libexec/findmydevice-user-agent
  623   0.0  15344 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  624   0.0   9552 /usr/libexec/pboard
  625   9.9 827264 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
  626   0.0   2064 /usr/sbin/distnoted
  627   0.0  23536 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
  629   0.0   8800 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  630   0.0  16528 /System/Library/CoreServices/talagent
  631   0.0  43984 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  632   0.0  13056 /usr/libexec/dmd
  634   0.0   2064 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  635   0.0  15504 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectBridgeService.xpc/Contents/MacOS/XProtectBridgeService
  636   1.7  90080 /Applications/iTerm.app/Contents/MacOS/iTerm2
  637   0.0  54608 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  638   0.0  38624 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  639   0.0  26848 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  640   0.0  33792 /Applications/Sublime Text.app/Contents/MacOS/sublime_text
  641   0.0  43152 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  642   0.0  81360 /System/Applications/Messages.app/Contents/MacOS/Messages
  643   0.0  20368 /usr/libexec/trustd
