File: graphite-benchmark-profile
Type: cpu
Time: Sep 8, 2026 at 5:03pm (KST)
Duration: 3.52s, Total samples = 53.84s (1531.01%)
Showing nodes accounting for 53.84s, 100% of 53.84s total
Showing top 100 nodes out of 219
      flat  flat%   sum%        cum   cum%
     0.01s 0.019% 99.80%      0.01s 0.019%  runtime.empty
     0.01s 0.019% 99.81%      0.01s 0.019%  runtime.evacuate_fast32
     0.01s 0.019% 99.83%      0.01s 0.019%  runtime.heapBitsSlice
     0.01s 0.019% 99.85%      0.01s 0.019%  runtime.markBits.isMarked
     0.01s 0.019% 99.87%      0.01s 0.019%  runtime.memclrNoHeapPointers
     0.01s 0.019% 99.89%     10.64s 19.76%  runtime.semrelease1
     0.01s 0.019% 99.91%      0.01s 0.019%  runtime/internal/atomic.(*Uint64).Add
     0.01s 0.019% 99.93%      0.32s  0.59%  sort.symMerge_func
     0.01s 0.019% 99.94%      0.01s 0.019%  strings.(*Builder).String
     0.01s 0.019%   100%      0.01s 0.019%  sync.runtime_canSpin
     0.01s 0.019%   100%      0.01s 0.019%  sync/atomic.(*Int32).Add
     0.01s 0.019%   100%      0.01s 0.019%  unicode/utf8.ValidString
         0     0%   100%     16.57s 30.78%  context.(*cancelCtx).Err
         0     0%   100%      0.01s 0.019%  github.com/johnsonlee/graphite/graphite-server/internal/query.ExecuteCrossWithOptions
         0     0%   100%      0.06s  0.11%  github.com/johnsonlee/graphite/graphite-server/internal/query.NodeProperty
         0     0%   100%      0.01s 0.019%  github.com/johnsonlee/graphite/graphite-server/internal/query.distinctVisibleKey
         0     0%   100%      0.01s 0.019%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.branch
         0     0%   100%      0.31s  0.58%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctAtomMatches
         0     0%   100%      0.11s   0.2%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctRawRange
         0     0%   100%      1.22s  2.27%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctRawRows
         0     0%   100%      0.11s   0.2%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.distinctRawRows.func1
