id	family	shape	projection	workloadIdentity	outcome	rowCount	digest	latencyNanos	hitGraphIds	inputSourceCount	resetMode	graphWorkUnits	filteredNodeLimitFastPathExecutions	generalFallbackExecutions
or-four-broad-rows-18	multi-keyword	or-four-broad-rows-18	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	12261917	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-18	multi-keyword	or-four-broad-distinct-18	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	108515000	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-19	multi-keyword	or-four-broad-rows-19	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	12375458	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-19	multi-keyword	or-four-broad-distinct-19	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	106242250	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-20	multi-keyword	or-four-broad-rows-20	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	12678167	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-20	multi-keyword	or-four-broad-distinct-20	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	108626167	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-21	multi-keyword	or-four-broad-rows-21	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	11575834	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-21	multi-keyword	or-four-broad-distinct-21	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	107980542	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-22	multi-keyword	or-four-broad-rows-22	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	12444792	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-22	multi-keyword	or-four-broad-distinct-22	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	107746375	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-23	multi-keyword	or-four-broad-rows-23	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	11946375	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-23	multi-keyword	or-four-broad-distinct-23	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	108668208	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-24	multi-keyword	or-four-broad-rows-24	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	12753625	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-24	multi-keyword	or-four-broad-distinct-24	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	106612625	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-25	multi-keyword	or-four-broad-rows-25	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	12527084	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-25	multi-keyword	or-four-broad-distinct-25	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	107879625	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-26	multi-keyword	or-four-broad-rows-26	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	12424917	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-26	multi-keyword	or-four-broad-distinct-26	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	109607708	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-27	multi-keyword	or-four-broad-rows-27	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	11934708	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-27	multi-keyword	or-four-broad-distinct-27	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	107405125	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-28	multi-keyword	or-four-broad-rows-28	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	10874666	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-28	multi-keyword	or-four-broad-distinct-28	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	106092417	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-29	multi-keyword	or-four-broad-rows-29	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	10546000	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-29	multi-keyword	or-four-broad-distinct-29	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	109283250	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-30	multi-keyword	or-four-broad-rows-30	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	11695292	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-30	multi-keyword	or-four-broad-distinct-30	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	102880875	fixture-android-00	64	per-query-cold	57697051	1	0
