gc 33 @134.262s 3%: 0.49+804+0.016 ms clock, 7.9+0.59/3214/8826+0.26 ms cpu, 17481->18109->15417 MB, 20226 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 34 @140.974s 3%: 1.6+1389+0.017 ms clock, 27+0/5558/15175+0.28 ms cpu, 26896->27347->24644 MB, 30835 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 35 @170.308s 2%: 3.1+1009+0.016 ms clock, 50+12/3993/10096+0.25 ms cpu, 41973->42886->8237 MB, 49290 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 36 @174.890s 3%: 0.40+665+0.020 ms clock, 6.4+0.57/2660/7093+0.32 ms cpu, 14030->14522->12437 MB, 16475 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 37 @180.351s 3%: 0.84+1058+0.015 ms clock, 13+0.64/4232/11518+0.25 ms cpu, 21183->22125->19448 MB, 24875 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 38 @188.343s 3%: 6.6+3286+0.014 ms clock, 105+0/13143/36154+0.22 ms cpu, 33735->33919->27462 MB, 38896 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 39 @211.860s 3%: 1.4+3235+0.018 ms clock, 23+4.4/12909/35217+0.29 ms cpu, 46773->49431->18807 MB, 54926 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 40 @223.782s 3%: 0.97+6139+0.019 ms clock, 15+0/24554/67489+0.30 ms cpu, 32877->34840->30691 MB, 37614 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 41 @256.871s 3%: 4.1+1435+0.013 ms clock, 65+0/5711/15527+0.21 ms cpu, 52475->52901->18058 MB, 61383 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 42 @266.880s 3%: 1.3+5133+0.028 ms clock, 21+70/20532/56441+0.45 ms cpu, 30756->33194->29080 MB, 36117 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 43 @305.710s 3%: 0.31+1125+0.025 ms clock, 5.0+0.96/4495/12213+0.40 ms cpu, 49528->50092->12782 MB, 58161 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 44 @312.108s 3%: 3.2+1920+0.013 ms clock, 51+0.59/7672/21018+0.21 ms cpu, 21771->23542->20843 MB, 25566 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 45 @326.614s 3%: 3.8+3719+0.025 ms clock, 61+1.2/14876/40899+0.41 ms cpu, 35498->35953->27739 MB, 41686 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 46 @353.576s 3%: 3.4+2704+0.026 ms clock, 54+9.8/10800/29423+0.41 ms cpu, 47244->49409->18058 MB, 55480 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 47 @364.918s 3%: 1.1+5401+0.025 ms clock, 18+1.2/21599/59371+0.40 ms cpu, 30756->34805->30628 MB, 36117 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 48 @392.353s 3%: 11+2655+0.014 ms clock, 183+0.68/10622/29195+0.23 ms cpu, 52164->53251->21739 MB, 61257 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 49 @413.061s 3%: 7.9+943+0.016 ms clock, 126+0/3760/10154+0.26 ms cpu, 37041->37386->9370 MB, 43478 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 50 @417.510s 3%: 1.4+797+0.009 ms clock, 23+0.58/3191/8683+0.14 ms cpu, 15959->16750->14501 MB, 18741 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 51 @423.820s 3%: 0.32+1224+0.012 ms clock, 5.1+0.53/4895/13323+0.19 ms cpu, 24697->25716->22451 MB, 29002 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 52 @441.972s 3%: 1.9+1129+0.17 ms clock, 31+0.81/4163/11101+2.7 ms cpu, 38238->38987->9840 MB, 44903 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 53 @446.860s 3%: 1.2+788+0.014 ms clock, 20+0/3154/8653+0.22 ms cpu, 17413->17526->15428 MB, 19681 MB goal, 0 MB stacks, 0 MB globals, 16 P
