File: graphite-benchmark-profile
Type: cpu
Time: Sep 8, 2026 at 5:05pm (KST)
Duration: 1.51s, Total samples = 72.70s (4811.45%)
Showing nodes accounting for 72.70s, 100% of 72.70s total
Showing top 100 nodes out of 115
      flat  flat%   sum%        cum   cum%
         0     0%   100%      0.15s  0.21%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).prepareProjectionOffsets
         0     0%   100%      0.01s 0.014%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).bytes
         0     0%   100%      0.01s 0.014%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).i32
         0     0%   100%      0.01s 0.014%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).node
         0     0%   100%      0.01s 0.014%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).scalarBytes
         0     0%   100%      0.01s 0.014%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).str
         0     0%   100%      0.01s 0.014%  io.ReadFull
         0     0%   100%      0.01s 0.014%  main.newWorker.func1
         0     0%   100%      0.01s 0.014%  runtime.(*mcache).nextFree
         0     0%   100%      0.03s 0.041%  runtime.(*mheap).alloc.func1
         0     0%   100%      0.03s 0.041%  runtime.(*mheap).allocSpan
         0     0%   100%      0.01s 0.014%  runtime.(*unwinder).next
         0     0%   100%      0.01s 0.014%  runtime.(*unwinder).resolveInternal
         0     0%   100%      0.01s 0.014%  runtime.callers
         0     0%   100%      0.01s 0.014%  runtime.callers.func1
         0     0%   100%      0.02s 0.028%  runtime.checkRunqsNoP
         0     0%   100%      0.01s 0.014%  runtime.convTstring
         0     0%   100%     42.57s 58.56%  runtime.findRunnable
         0     0%   100%      0.01s 0.014%  runtime.funcspdelta
         0     0%   100%      0.01s 0.014%  runtime.growslice
         0     0%   100%      0.13s  0.18%  runtime.lock (inline)
         0     0%   100%     29.87s 41.09%  runtime.lock2
         0     0%   100%     29.87s 41.09%  runtime.lockWithRank (inline)
         0     0%   100%      3.24s  4.46%  runtime.mPark (inline)
         0     0%   100%      0.01s 0.014%  runtime.mProf_Malloc
         0     0%   100%      0.02s 0.028%  runtime.mallocgc
         0     0%   100%     42.61s 58.61%  runtime.mcall
         0     0%   100%      0.01s 0.014%  runtime.nanotime
         0     0%   100%      3.24s  4.46%  runtime.notesleep
         0     0%   100%      0.01s 0.014%  runtime.notewakeup
         0     0%   100%     28.26s 38.87%  runtime.osyield (inline)
         0     0%   100%     42.61s 58.61%  runtime.park_m
         0     0%   100%      0.03s 0.041%  runtime.parkunlock_c
         0     0%   100%      0.01s 0.014%  runtime.pcvalue
         0     0%   100%      0.01s 0.014%  runtime.profilealloc
         0     0%   100%      0.01s 0.014%  runtime.resetspinning
         0     0%   100%     39.20s 53.92%  runtime.runqgrab
         0     0%   100%     39.20s 53.92%  runtime.runqsteal
         0     0%   100%     42.58s 58.57%  runtime.schedule
         0     0%   100%      4.78s  6.57%  runtime.semacquire1
         0     0%   100%      4.85s  6.67%  runtime.semasleep
         0     0%   100%      0.14s  0.19%  runtime.semawakeup
         0     0%   100%     25.05s 34.46%  runtime.semrelease1
         0     0%   100%      0.01s 0.014%  runtime.startm
         0     0%   100%      3.25s  4.47%  runtime.stopm
         0     0%   100%      0.04s 0.055%  runtime.systemstack
