File: graphite-benchmark-profile
Type: cpu
Time: Sep 8, 2026 at 5:05pm (KST)
Duration: 1.51s, Total samples = 72.70s (4811.45%)
Showing nodes accounting for 72.66s, 99.94% of 72.70s total
Showing top 100 nodes out of 115
      flat  flat%   sum%        cum   cum%
         0     0% 99.90%      0.01s 0.014%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).node
         0     0% 99.90%      0.01s 0.014%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).scalarBytes
         0     0% 99.90%      0.01s 0.014%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).str
     0.01s 0.014% 99.92%      0.01s 0.014%  io.ReadAtLeast
         0     0% 99.92%      0.01s 0.014%  io.ReadFull
         0     0% 99.92%      0.01s 0.014%  main.newWorker.func1
         0     0% 99.92%      0.01s 0.014%  runtime.(*mcache).nextFree
     0.01s 0.014% 99.93%      0.01s 0.014%  runtime.(*mspan).nextFreeIndex
         0     0% 99.93%      0.01s 0.014%  runtime.(*unwinder).next
         0     0% 99.93%      0.01s 0.014%  runtime.(*unwinder).resolveInternal
         0     0% 99.93%      0.01s 0.014%  runtime.callers
         0     0% 99.93%      0.01s 0.014%  runtime.callers.func1
         0     0% 99.93%      0.01s 0.014%  runtime.convTstring
     0.01s 0.014% 99.94%      0.01s 0.014%  runtime.duffzero
         0     0% 99.94%      0.01s 0.014%  runtime.funcspdelta
