gc 33 @86.583s 1%: 0.10+297+0.022 ms clock, 1.6+0.16/1189/3267+0.35 ms cpu, 11475->11810->6402 MB, 12814 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 34 @89.194s 1%: 0.10+294+0.012 ms clock, 1.6+0.12/1173/3196+0.20 ms cpu, 11461->11808->6322 MB, 12805 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 35 @91.733s 1%: 0.093+298+0.013 ms clock, 1.5+0.19/1190/3168+0.22 ms cpu, 11327->11667->6323 MB, 12645 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 36 @94.332s 1%: 0.10+293+0.018 ms clock, 1.6+0.14/1171/3154+0.30 ms cpu, 11326->11674->6339 MB, 12647 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 37 @96.887s 1%: 0.050+297+0.18 ms clock, 0.80+0.12/1187/3238+2.9 ms cpu, 11356->11709->6350 MB, 12679 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 38 @99.455s 1%: 0.10+296+0.015 ms clock, 1.6+0.13/1182/3237+0.24 ms cpu, 11389->11758->6371 MB, 12702 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 39 @102.018s 1%: 0.10+298+0.024 ms clock, 1.6+0.089/1190/3250+0.39 ms cpu, 11368->11717->6360 MB, 12744 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 40 @157.930s 0%: 0.089+293+0.016 ms clock, 1.4+0.071/1172/3202+0.26 ms cpu, 11344->11523->6155 MB, 12722 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 41 @162.912s 1%: 0.042+292+0.013 ms clock, 0.67+0.13/1168/3197+0.21 ms cpu, 10944->11114->6148 MB, 12311 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 42 @167.986s 1%: 0.041+289+0.013 ms clock, 0.66+0.063/1155/3173+0.21 ms cpu, 10929->11099->6148 MB, 12296 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 43 @173.149s 1%: 0.061+301+0.018 ms clock, 0.98+0.093/1206/3300+0.29 ms cpu, 10929->11099->6147 MB, 12297 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 44 @178.446s 1%: 0.044+296+0.019 ms clock, 0.70+0.084/1184/3208+0.30 ms cpu, 11007->11189->6158 MB, 12296 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 45 @184.808s 1%: 0.037+304+0.013 ms clock, 0.60+0.20/1217/3340+0.22 ms cpu, 11643->11851->6220 MB, 12317 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 46 @189.453s 1%: 0.17+315+0.013 ms clock, 2.7+0.15/1261/3462+0.20 ms cpu, 11664->11889->6527 MB, 12440 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 47 @194.281s 1%: 0.14+339+0.011 ms clock, 2.3+0.15/1355/3706+0.17 ms cpu, 12217->12432->6820 MB, 13056 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 48 @199.418s 1%: 0.13+381+0.012 ms clock, 2.2+0.13/1526/4180+0.20 ms cpu, 12753->12988->7213 MB, 13641 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 49 @206.108s 1%: 0.18+458+0.015 ms clock, 2.8+0.25/1832/5035+0.25 ms cpu, 13478->13660->8004 MB, 14428 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 50 @213.179s 1%: 0.18+350+0.008 ms clock, 2.9+0.24/1403/3854+0.14 ms cpu, 14940->15161->7015 MB, 16010 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 51 @218.344s 1%: 0.10+356+0.013 ms clock, 1.7+0.21/1424/3903+0.21 ms cpu, 13112->13349->7273 MB, 14031 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 52 @223.820s 1%: 0.11+360+0.011 ms clock, 1.7+0.27/1438/3938+0.19 ms cpu, 13660->13903->7278 MB, 14546 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 53 @230.308s 1%: 0.12+415+0.020 ms clock, 1.9+0.18/1658/4541+0.32 ms cpu, 13651->13858->7604 MB, 14558 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 54 @237.802s 1%: 0.10+287+0.015 ms clock, 1.6+0.23/1150/3160+0.24 ms cpu, 14263->14422->6136 MB, 15210 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 55 @243.540s 1%: 0.11+311+0.023 ms clock, 1.8+0.14/1245/3401+0.38 ms cpu, 11531->11712->6491 MB, 12274 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 56 @249.576s 1%: 0.046+340+0.013 ms clock, 0.75+0.21/1358/3702+0.21 ms cpu, 12188->12387->6944 MB, 12982 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 57 @256.082s 1%: 0.040+338+0.020 ms clock, 0.65+0.21/1352/3703+0.33 ms cpu, 13027->13236->6979 MB, 13889 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 58 @263.111s 1%: 0.15+293+0.025 ms clock, 2.4+0.20/1167/3186+0.40 ms cpu, 13180->13385->6182 MB, 13960 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 59 @267.682s 1%: 0.16+289+0.025 ms clock, 2.6+0.22/1156/3167+0.41 ms cpu, 11600->11799->6176 MB, 12364 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 60 @272.222s 1%: 0.14+293+0.012 ms clock, 2.2+0.29/1172/3122+0.20 ms cpu, 11588->11790->6178 MB, 12353 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 61 @276.765s 1%: 0.14+342+0.017 ms clock, 2.2+0.32/1367/3731+0.28 ms cpu, 11593->11837->7094 MB, 12358 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 62 @282.660s 1%: 0.13+380+0.017 ms clock, 2.1+0.22/1520/4177+0.28 ms cpu, 13279->13489->7420 MB, 14188 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 63 @288.596s 1%: 0.14+324+0.016 ms clock, 2.2+0.16/1298/3551+0.26 ms cpu, 13888->14098->6623 MB, 14840 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 64 @293.465s 1%: 0.11+346+0.014 ms clock, 1.9+0.21/1384/3800+0.22 ms cpu, 12408->12649->7021 MB, 13247 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 65 @298.661s 1%: 0.10+374+0.016 ms clock, 1.7+0.17/1495/4096+0.26 ms cpu, 13141->13414->7396 MB, 14043 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 66 @305.361s 1%: 0.11+451+0.016 ms clock, 1.7+0.18/1803/4947+0.26 ms cpu, 13773->13977->8304 MB, 14794 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 67 @313.492s 1%: 0.10+346+0.010 ms clock, 1.7+0.19/1378/3767+0.16 ms cpu, 15432->15614->6865 MB, 16609 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 68 @319.842s 1%: 0.10+365+0.017 ms clock, 1.7+0.13/1459/3991+0.28 ms cpu, 12786->12994->7245 MB, 13731 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 69 @326.603s 1%: 0.14+405+0.014 ms clock, 2.2+0.18/1617/4398+0.23 ms cpu, 13486->13700->7562 MB, 14491 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 70 @333.631s 1%: 0.11+415+0.019 ms clock, 1.9+0.12/1661/4565+0.31 ms cpu, 14066->14309->8156 MB, 15125 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 71 @343.445s 1%: 0.11+297+0.015 ms clock, 1.8+0.36/1189/3267+0.25 ms cpu, 15403->15552->6201 MB, 16312 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 72 @349.422s 1%: 0.12+342+0.013 ms clock, 2.0+0.25/1369/3750+0.22 ms cpu, 11743->11928->6967 MB, 12402 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 73 @356.110s 1%: 0.13+359+0.012 ms clock, 2.2+0.19/1437/3939+0.19 ms cpu, 13178->13392->7252 MB, 13936 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 74 @363.142s 1%: 0.16+368+0.014 ms clock, 2.6+0.21/1472/4017+0.23 ms cpu, 13706->13918->7250 MB, 14506 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 75 @370.306s 1%: 0.12+359+0.010 ms clock, 1.9+0.11/1436/3936+0.16 ms cpu, 13702->13796->7137 MB, 14502 MB goal, 0 MB stacks, 0 MB globals, 16 P
