File: graphite-benchmark-profile
Type: cpu
Time: Sep 8, 2026 at 5:03pm (KST)
Duration: 2.51s, Total samples = 40.65s (1618.81%)
Showing nodes accounting for 40.65s, 100% of 40.65s total
Showing top 100 nodes out of 141
      flat  flat%   sum%        cum   cum%
         0     0%   100%      0.01s 0.025%  github.com/johnsonlee/graphite/graphite-server/internal/query.key
         0     0%   100%      6.41s 15.77%  github.com/johnsonlee/graphite/graphite-server/internal/query.runDistinctTasks[go.shape.map[string]bool].func1.1
         0     0%   100%         6s 14.76%  github.com/johnsonlee/graphite/graphite-server/internal/query.runDistinctTasks[go.shape.struct { github.com/johnsonlee/graphite/graphite-server/internal/query.rows []map[string]interface {}; github.com/johnsonlee/graphite/graphite-server/internal/query.known map[string]bool; github.com/johnsonlee/graphite/graphite-server/internal/query.index *github.com/johnsonlee/graphite/graphite-server/internal/store.DistinctStringIndex }].func1.1
         0     0%   100%      0.01s 0.025%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*CallSiteStringIndex).Directory
         0     0%   100%      0.01s 0.025%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*DistinctStringIndex).Directory
         0     0%   100%     10.53s 25.90%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).CandidateNode
         0     0%   100%      0.31s  0.76%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).Node
         0     0%   100%      1.19s  2.93%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).ProjectionString
         0     0%   100%      0.14s  0.34%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).ProjectionStringIDs
         0     0%   100%      0.18s  0.44%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).prepareProjectionOffsets
         0     0%   100%      0.06s  0.15%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).method
         0     0%   100%      0.05s  0.12%  main.newWorker.func1
         0     0%   100%      0.19s  0.47%  reflect.typedmemmove (inline)
         0     0%   100%      0.02s 0.049%  runtime.(*mcache).nextFree
         0     0%   100%      0.02s 0.049%  runtime.(*mcache).refill
         0     0%   100%      0.02s 0.049%  runtime.(*mcentral).cacheSpan
         0     0%   100%      0.01s 0.025%  runtime.(*mcentral).grow
         0     0%   100%      0.01s 0.025%  runtime.(*mheap).alloc
         0     0%   100%      0.01s 0.025%  runtime.(*mheap).alloc.func1
         0     0%   100%      0.01s 0.025%  runtime.(*mheap).allocSpan
         0     0%   100%      0.01s 0.025%  runtime.(*mheap).initSpan
         0     0%   100%      0.01s 0.025%  runtime.(*mspan).refillAllocCache
         0     0%   100%      0.01s 0.025%  runtime.(*mspan).writeHeapBitsSmall
         0     0%   100%      0.03s 0.074%  runtime.checkRunqsNoP
         0     0%   100%      0.05s  0.12%  runtime.convTstring
         0     0%   100%     27.92s 68.68%  runtime.findRunnable
         0     0%   100%      0.01s 0.025%  runtime.gopreempt_m
         0     0%   100%      0.01s 0.025%  runtime.goschedImpl
         0     0%   100%      0.01s 0.025%  runtime.heapSetType
         0     0%   100%      0.41s  1.01%  runtime.lock (inline)
         0     0%   100%     11.64s 28.63%  runtime.lock2
         0     0%   100%     11.64s 28.63%  runtime.lockWithRank (inline)
         0     0%   100%      1.94s  4.77%  runtime.mPark (inline)
         0     0%   100%     27.96s 68.78%  runtime.mcall
