File: graphite-benchmark-profile
Type: cpu
Time: Sep 8, 2026 at 5:03pm (KST)
Duration: 2.51s, Total samples = 40.65s (1618.81%)
Showing nodes accounting for 40.49s, 99.61% of 40.65s total
Showing top 100 nodes out of 141
      flat  flat%   sum%        cum   cum%
         0     0% 99.11%      0.07s  0.17%  sync.(*RWMutex).Unlock
         0     0% 99.11%      0.06s  0.15%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).method
         0     0% 99.11%      0.06s  0.15%  runtime.systemstack
     0.05s  0.12% 99.24%      0.05s  0.12%  context.(*cancelCtx).Done
         0     0% 99.24%      0.05s  0.12%  github.com/johnsonlee/graphite/graphite-server/internal/query.ExecuteCrossWithOptions
         0     0% 99.24%      0.05s  0.12%  github.com/johnsonlee/graphite/graphite-server/internal/query.NodeProperty
         0     0% 99.24%      0.05s  0.12%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.branch
         0     0% 99.24%      0.05s  0.12%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.indexedDistinct
         0     0% 99.24%      0.05s  0.12%  github.com/johnsonlee/graphite/graphite-server/internal/query.executeSources
         0     0% 99.24%      0.05s  0.12%  main.newWorker.func1
         0     0% 99.24%      0.05s  0.12%  runtime.convTstring
         0     0% 99.24%      0.05s  0.12%  runtime.ready
         0     0% 99.24%      0.05s  0.12%  runtime.send.goready.func1
     0.01s 0.025% 99.26%      0.04s 0.098%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).str
     0.04s 0.098% 99.36%      0.04s 0.098%  runtime.procyield
         0     0% 99.36%      0.04s 0.098%  runtime.resetspinning
         0     0% 99.36%      0.04s 0.098%  sync.runtime_doSpin
     0.01s 0.025% 99.38%      0.03s 0.074%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.check
     0.01s 0.025% 99.41%      0.03s 0.074%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).i32
     0.02s 0.049% 99.46%      0.03s 0.074%  runtime.chanrecv
         0     0% 99.46%      0.03s 0.074%  runtime.checkRunqsNoP
     0.01s 0.025% 99.48%      0.03s 0.074%  runtime.makeslice
         0     0% 99.48%      0.03s 0.074%  runtime.selectnbrecv
     0.02s 0.049% 99.53%      0.02s 0.049%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).scalarBytes
         0     0% 99.53%      0.02s 0.049%  runtime.(*mcache).nextFree
         0     0% 99.53%      0.02s 0.049%  runtime.(*mcache).refill
         0     0% 99.53%      0.02s 0.049%  runtime.(*mcentral).cacheSpan
         0     0% 99.53%      0.02s 0.049%  runtime.unlock
         0     0% 99.53%      0.02s 0.049%  runtime.unlock2
         0     0% 99.53%      0.02s 0.049%  runtime.unlockWithRank
     0.02s 0.049% 99.58%      0.02s 0.049%  unicode/utf8.ValidString
     0.01s 0.025% 99.61%      0.01s 0.025%  fmt.(*buffer).writeString
