id	family	shape	projection	workloadIdentity	outcome	rowCount	digest	latencyNanos	hitGraphIds	inputSourceCount	resetMode	graphWorkUnits	filteredNodeLimitFastPathExecutions	generalFallbackExecutions
or-four-broad-rows-00	multi-keyword	or-four-broad-rows-00	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	102322125	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-00	multi-keyword	or-four-broad-distinct-00	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	361241250	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-01	multi-keyword	or-four-broad-rows-01	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	36206083	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-01	multi-keyword	or-four-broad-distinct-01	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	185022375	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-02	multi-keyword	or-four-broad-rows-02	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	20116709	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-02	multi-keyword	or-four-broad-distinct-02	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	166757542	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-03	multi-keyword	or-four-broad-rows-03	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	10681709	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-03	multi-keyword	or-four-broad-distinct-03	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	158295500	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-04	multi-keyword	or-four-broad-rows-04	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	16062209	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-04	multi-keyword	or-four-broad-distinct-04	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	152084750	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-05	multi-keyword	or-four-broad-rows-05	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	16339000	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-05	multi-keyword	or-four-broad-distinct-05	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	163615625	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-06	multi-keyword	or-four-broad-rows-06	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	11811000	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-06	multi-keyword	or-four-broad-distinct-06	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	154125042	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-07	multi-keyword	or-four-broad-rows-07	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	13812292	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-07	multi-keyword	or-four-broad-distinct-07	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	162168833	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-08	multi-keyword	or-four-broad-rows-08	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	18111416	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-08	multi-keyword	or-four-broad-distinct-08	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	166481500	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-09	multi-keyword	or-four-broad-rows-09	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	17586250	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-09	multi-keyword	or-four-broad-distinct-09	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	153354375	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-10	multi-keyword	or-four-broad-rows-10	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	16884958	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-10	multi-keyword	or-four-broad-distinct-10	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	160694958	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-11	multi-keyword	or-four-broad-rows-11	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	16214792	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-11	multi-keyword	or-four-broad-distinct-11	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	159266375	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-12	multi-keyword	or-four-broad-rows-12	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	13517958	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-12	multi-keyword	or-four-broad-distinct-12	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	149124583	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-13	multi-keyword	or-four-broad-rows-13	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	15081875	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-13	multi-keyword	or-four-broad-distinct-13	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	165465708	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-14	multi-keyword	or-four-broad-rows-14	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	16300208	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-14	multi-keyword	or-four-broad-distinct-14	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	157139375	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-15	multi-keyword	or-four-broad-rows-15	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	17646458	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-15	multi-keyword	or-four-broad-distinct-15	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	160900458	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-16	multi-keyword	or-four-broad-rows-16	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	16758459	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-16	multi-keyword	or-four-broad-distinct-16	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	158736083	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-17	multi-keyword	or-four-broad-rows-17	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	15721083	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-17	multi-keyword	or-four-broad-distinct-17	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	159467708	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-18	multi-keyword	or-four-broad-rows-18	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	15598584	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-18	multi-keyword	or-four-broad-distinct-18	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	152771084	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-19	multi-keyword	or-four-broad-rows-19	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	10538000	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-19	multi-keyword	or-four-broad-distinct-19	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	160925292	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-20	multi-keyword	or-four-broad-rows-20	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	15829334	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-20	multi-keyword	or-four-broad-distinct-20	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	154568333	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-21	multi-keyword	or-four-broad-rows-21	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	15552541	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-21	multi-keyword	or-four-broad-distinct-21	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	159685417	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-22	multi-keyword	or-four-broad-rows-22	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	14686417	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-22	multi-keyword	or-four-broad-distinct-22	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	158693416	fixture-android-00	64	per-query-cold	57697051	1	0
or-four-broad-rows-23	multi-keyword	or-four-broad-rows-23	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	15842667	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-23	multi-keyword	or-four-broad-distinct-23	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	160819750	fixture-android-00	64	per-query-cold	57697051	1	0
