index	id	outcome	oldMainMs	oldGoMs	mainMs	goMs	goDeltaMs
132	graph-id-property-wrapped-contains-target-33-dense	success	1.186875	19.050334	1.205542	18.95025	-0.100084
133	graph-id-property-wrapped-contains-target-34-zero	success	19.703041	12.138375	19.650292	12.295375	0.157
134	graph-id-property-wrapped-contains-target-34-targeted	success	0.230458	2.149792	0.266666	2.243708	0.093916
135	graph-id-property-wrapped-contains-target-34-dense	success	1.329125	22.261	1.392667	22.411292	0.150292
136	graph-id-property-wrapped-contains-target-35-zero	success	19.444791	12.060375	19.555625	12.223041	0.162666
137	graph-id-property-wrapped-contains-target-35-targeted	success	0.203667	2.126625	0.226792	2.193958	0.067333
138	graph-id-property-wrapped-contains-target-35-dense	success	1.358416	22.786625	1.353417	23.073375	0.28675
139	graph-id-property-wrapped-contains-target-36-zero	success	18.129458	11.094583	18.058042	11.181334	0.086751
140	graph-id-property-wrapped-contains-target-36-targeted	success	0.212125	1.980125	0.211125	1.976875	-0.00325
141	graph-id-property-wrapped-contains-target-36-dense	success	1.198875	19.361375	1.255375	19.633625	0.27225
142	graph-id-property-wrapped-contains-target-37-zero	success	17.9965	10.778416	17.971084	10.836209	0.057793
143	graph-id-property-wrapped-contains-target-37-targeted	success	0.332708	2.120083	0.356708	2.085708	-0.034375
144	graph-id-property-wrapped-contains-target-37-dense	success	1.234667	19.1815	1.276125	19.602375	0.420875
145	graph-id-property-wrapped-contains-target-38-zero	success	19.098834	11.294625	19.04125	11.408083	0.113458
146	graph-id-property-wrapped-contains-target-38-targeted	success	0.233667	2.082	0.232416	2.046291	-0.035709
147	graph-id-property-wrapped-contains-target-38-dense	success	1.231	20.878	1.300333	21.305	0.427
148	graph-id-property-wrapped-contains-target-39-zero	success	19.649292	12.527583	19.589292	12.837167	0.309584
149	graph-id-property-wrapped-contains-target-39-targeted	success	0.243083	2.12675	0.250834	2.208708	0.081958
150	graph-id-property-wrapped-contains-target-39-dense	success	1.247	21.17625	1.271792	21.599375	0.423125
151	graph-id-property-wrapped-contains-target-40-zero	success	20.524458	12.574916	20.528709	12.730834	0.155918
152	graph-id-property-wrapped-contains-target-40-targeted	success	0.224583	2.214416	0.22025	2.29125	0.076834
153	graph-id-property-wrapped-contains-target-40-dense	success	1.324666	23.8615	1.456333	24.477833	0.616333
154	graph-id-property-wrapped-contains-target-41-zero	success	19.106334	11.090875	19.516042	11.333	0.242125
155	graph-id-property-wrapped-contains-target-41-targeted	success	0.21125	2.238917	0.264	2.313125	0.074208
156	graph-id-property-wrapped-contains-target-41-dense	success	1.346542	19.677583	1.494875	20.147417	0.469834
157	graph-id-property-wrapped-contains-target-42-zero	success	17.937	10.396875	18.191541	10.430458	0.033583
158	graph-id-property-wrapped-contains-target-42-targeted	success	0.393875	2.042666	0.441375	2.0565	0.013834
159	graph-id-property-wrapped-contains-target-42-dense	success	1.423417	17.5625	1.35975	17.9115	0.349
160	graph-id-property-wrapped-contains-target-43-zero	success	19.406084	11.443458	19.828083	11.503417	0.059959
161	graph-id-property-wrapped-contains-target-43-targeted	success	0.249334	2.030208	0.263	2.04825	0.018042
162	graph-id-property-wrapped-contains-target-43-dense	success	1.459625	19.342625	1.497708	20.13275	0.790125
