index	id	family	shape	outcome	samplesPerRuntime	measurementKind	mainLatencyNanos	goLatencyNanos	mainOverGoSingleSampleRatio	rowCount	responseBytes	digest	mainErrorClass	mainReferenceErrorMessage	goErrorClass	goErrorMessage
0	request-selected-set-wrapped-contains-k64-group-00-zero	graph-set-reference	request-selected-set-wrapped-contains	success	1	successful-latency	15698917	76027334	0.2064904314545608	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
1	single-contains-unlabeled-zero	contains	single-contains-unlabeled	success	1	successful-latency	6818583	1814917	3.756966847519749	0	49	3ac63634ef061bbfd710d08a2153c866385b655741559497d76793f6c8d76e1a				
2	single-contains-unlabeled-targeted	contains	single-contains-unlabeled	success	1	successful-latency	17561375	72570667	0.24198999025322449	200	46966	187a62814fc87275955331a4cde38a147e1075c02ad5783005edd39f361863c0				
3	single-contains-unlabeled-dense	contains	single-contains-unlabeled	success	1	successful-latency	65900375	1821500	36.17917924787263	200	43486	f04c68d9d3fe27750516e393271bda65227db7f5fdf116b9a10f7b3d7d4068ff				
4	class-contains-or-unlabeled-zero	contains	class-contains-or-unlabeled	success	1	successful-latency	3636042	50562708	0.07191153606725335	0	135	2353923ee345bb31a3e5b5684fd9597f5a309f18266c51232f6d903326d6ab83				
5	class-contains-or-unlabeled-targeted	contains	class-contains-or-unlabeled	success	1	successful-latency	173675584	809334958	0.21459048850327803	200	83519	53f0c918dbe233f05eefcdf3e11b20da968aac6c4c4aa519a060b127d565daba				
6	class-contains-or-unlabeled-dense	contains	class-contains-or-unlabeled	success	1	successful-latency	45119333	618368791	0.07296508759285039	200	84622	c137e7938bacc81b3aa1233c728d8500839ed0ca85735ef7a589c901721364e1				
7	name-contains-or-unlabeled-zero	contains	name-contains-or-unlabeled	success	1	successful-latency	3301167	1502875	2.1965679115029526	0	135	2353923ee345bb31a3e5b5684fd9597f5a309f18266c51232f6d903326d6ab83				
8	name-contains-or-unlabeled-targeted	contains	name-contains-or-unlabeled	success	1	successful-latency	34952459	28814583	1.2130128345081377	0	135	2353923ee345bb31a3e5b5684fd9597f5a309f18266c51232f6d903326d6ab83				
9	name-contains-or-unlabeled-dense	contains	name-contains-or-unlabeled	success	1	successful-latency	1101292	545250	2.0197927556166895	200	82000	2a7acbfb07e87af8a7af73cff4e8aed29a642ce9b7e5ca901f3385df7a2e2671				
10	four-contains-or-unlabeled-zero	contains	four-contains-or-unlabeled	success	1	successful-latency	1655042	2342833	0.7064276455043957	0	173	21514b44bab7a7f1a700cdc7119f3ce1b4ea8304c84e402ddb5f9775b21dd8af				
11	four-contains-or-unlabeled-targeted	contains	four-contains-or-unlabeled	success	1	successful-latency	2531708	748500	3.38237541750167	200	112015	9f09930cd4aa7572add3e43b8434a4721a3b0f6622af359dc299310f9bbd7e96				
12	four-contains-or-unlabeled-dense	contains	four-contains-or-unlabeled	success	1	successful-latency	39250167	2569250	15.276896759754793	200	99187	4288f8530cba49c2f9780fe900f62e94fc14fc44b47b140457d983d5fcd2dd5c				
13	four-contains-or-labeled-zero	contains	four-contains-or-labeled	success	1	successful-latency	1745541	2066125	0.84483804222881	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
14	four-contains-or-labeled-targeted	contains	four-contains-or-labeled	success	1	successful-latency	10551000	11631000	0.9071446995099304	200	86272	94ef562421942882b2562b2b8a3d6905607c166fc039d3daec1c50e988a8c0eb				
15	four-contains-or-labeled-dense	contains	four-contains-or-labeled	success	1	successful-latency	761334	485000	1.569760824742268	200	82009	e65f72b24be32eccca575f0ae4151e8dee6e89e2971db9727071b046e14b3ea4				
16	starts-or-raw-zero	contains	starts-or-raw	success	1	successful-latency	123567500	227499000	0.5431562336537743	0	84	425b336aa734c4a1ffbfb58aeaf5489b33f919170492c4bff859504736492e7f				
17	starts-or-raw-targeted	contains	starts-or-raw	success	1	successful-latency	37421208	61758916	0.6059239770335347	100	30972	a7b9846908febb502abd47dcc7269165df8c94605a7dcdc63931103d82b581a2				
18	starts-or-raw-dense	contains	starts-or-raw	success	1	successful-latency	537375	1055125	0.5092998459898116	100	30214	0740bcf1983553477a227138dc3b3ed095f06c984728dcc1bbffb3b71959a13b				
19	ends-or-raw-zero	contains	ends-or-raw	success	1	successful-latency	58433708	188959667	0.30923905046890243	0	82	3ccae830dbdb8a07387e7c7e6dc034be54ba0aabd8aed60d7c03e33380639d25				
20	ends-or-raw-targeted	contains	ends-or-raw	success	1	successful-latency	22457792	188373708	0.1192193551766789	0	82	3ccae830dbdb8a07387e7c7e6dc034be54ba0aabd8aed60d7c03e33380639d25				
21	ends-or-raw-dense	contains	ends-or-raw	success	1	successful-latency	1152667	2586917	0.4455755634989449	100	26415	4293914be7e842e02606eeadfc7b0586191868e301451883db95dbd7efbd0963				
22	starts-or-wrapped-zero	wrapped	starts-or-wrapped	success	1	successful-latency	154285500	594058333	0.2597143940744957	0	84	425b336aa734c4a1ffbfb58aeaf5489b33f919170492c4bff859504736492e7f				
23	starts-or-wrapped-targeted	wrapped	starts-or-wrapped	success	1	successful-latency	89492792	630461916	0.14194797453871902	100	33663	4019ab262ff47d06b6a1a9ec26de3964105a48177a5693ae58c1ccbe789292d6				
24	starts-or-wrapped-dense	wrapped	starts-or-wrapped	success	1	successful-latency	122838834	598038541	0.20540287218712883	0	84	425b336aa734c4a1ffbfb58aeaf5489b33f919170492c4bff859504736492e7f				
25	ends-or-wrapped-zero	wrapped	ends-or-wrapped	success	1	successful-latency	28650042	646431000	0.04432034045396956	0	82	3ccae830dbdb8a07387e7c7e6dc034be54ba0aabd8aed60d7c03e33380639d25				
26	ends-or-wrapped-targeted	wrapped	ends-or-wrapped	success	1	successful-latency	30078625	624308625	0.048179095715680686	0	82	3ccae830dbdb8a07387e7c7e6dc034be54ba0aabd8aed60d7c03e33380639d25				
27	ends-or-wrapped-dense	wrapped	ends-or-wrapped	success	1	successful-latency	34265417	1043667666	0.03283173189730686	100	27445	f69994db68ca9193f7b602b00273d35268080826366be899fd90877a4e6f4362				
28	contains-or-wrapped-zero	wrapped	contains-or-wrapped	success	1	successful-latency	909875	12056459	0.07546784673675745	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
29	contains-or-wrapped-targeted	wrapped	contains-or-wrapped	success	1	successful-latency	13336042	282678666	0.04717739116541607	200	85931	9b41620c5d38783d39c34332e17f7d0e079a6c8ce8e05707a2b9b976bc4a37fc				
30	contains-or-wrapped-dense	wrapped	contains-or-wrapped	success	1	successful-latency	26504625	1159034584	0.02286784653873624	200	86834	c9cfe78a2f725c44cb51d9d43076dc2a5602ac590ad0d35835c759432572a5cb				
31	graph-id-property-wrapped-contains-target-00-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	552792	1784417	0.3097885752041143	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
32	graph-id-property-wrapped-contains-target-00-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	833458	2248875	0.3706110833194375	10	5730	00c81103244dc6d42abdc3894d771e5a24957dcf7e5ad4d8dc686b1d7e0cb89e				
33	graph-id-property-wrapped-contains-target-00-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	2316917	17653958	0.13124065436204166	200	84411	3bdee68309e62bee93f47848258ded90b1763d55841fa57d8b8fd21867653c44				
34	graph-id-property-wrapped-contains-target-01-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	22706584	666542	34.06624638807457	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
35	graph-id-property-wrapped-contains-target-01-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	382625	2241250	0.17071946458449527	1	758	b33173a678013ac093c95f3fccc5cd5af96ea18082387e1fc872de4817e234b2				
36	graph-id-property-wrapped-contains-target-01-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	2124250	20522292	0.10350939359015066	200	84093	d9daf98f04e06930dfeb91ddd4e8ae597b8f9154e54ac1018db6a25ea8ddd84f				
37	graph-id-property-wrapped-contains-target-02-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	23775250	699541	33.98692857173489	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
38	graph-id-property-wrapped-contains-target-02-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	366667	2475833	0.14809843798026764	9	5751	0754b66fd035110585cc31e6af555127395a9cd85c413f0a859de6b596c3b70d				
39	graph-id-property-wrapped-contains-target-02-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1989708	18724916	0.10625991593233315	200	86930	a289774d080329d12351d967c614eae9b16190b55970a757b1f268e21aee3975				
40	graph-id-property-wrapped-contains-target-03-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	24543791	700500	35.03753176302641	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
41	graph-id-property-wrapped-contains-target-03-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	310208	2428667	0.12772767942249802	2	1333	77f2da9b0b5a99e6332b957b281149f5e269d152177e36aaa74e86db4bc23bf9				
42	graph-id-property-wrapped-contains-target-03-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1980125	19554875	0.10125991600559962	200	85151	08fbf5fde8e917175e0dca625983535621218120265897bdd0781fe99669b859				
43	graph-id-property-wrapped-contains-target-04-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	22570625	683416	33.026187563650836	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
44	graph-id-property-wrapped-contains-target-04-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	336833	2496500	0.1349220909272982	9	5762	527d81de9e8ca9f5fe9ad0166e1e1711fbccaf3c53281e7e95375f6d55e3a3c7				
45	graph-id-property-wrapped-contains-target-04-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1899625	18346667	0.10354060495020703	200	86152	85d9bac3392391ae56f1f03af81d888f398336c8e33a1ef1e42c5409f746f730				
