index	id	outcome	oldMainMs	oldGoMs	mainMs	goMs	goDeltaMs
66	graph-id-property-wrapped-contains-target-11-dense	success	1.708958	19.006	1.530125	19.089292	0.083292
67	graph-id-property-wrapped-contains-target-12-zero	success	25.198625	0.617417	24.58425	0.649292	0.031875
68	graph-id-property-wrapped-contains-target-12-targeted	success	0.350333	2.34075	0.318	2.421125	0.080375
69	graph-id-property-wrapped-contains-target-12-dense	success	1.817542	21.377625	1.591458	21.541041	0.163416
70	graph-id-property-wrapped-contains-target-13-zero	success	24.700083	0.613708	23.759334	0.628292	0.014584
71	graph-id-property-wrapped-contains-target-13-targeted	success	0.425583	2.258542	0.62825	2.280416	0.021874
72	graph-id-property-wrapped-contains-target-13-dense	success	1.689209	21.486625	1.473709	21.788041	0.301416
73	graph-id-property-wrapped-contains-target-14-zero	success	22.413666	0.629708	22.162084	0.638875	0.009167
74	graph-id-property-wrapped-contains-target-14-targeted	success	0.293958	2.244542	0.262	2.248417	0.003875
75	graph-id-property-wrapped-contains-target-14-dense	success	1.539167	20.3375	1.379	20.706792	0.369292
76	graph-id-property-wrapped-contains-target-15-zero	success	21.144041	0.607208	20.702334	0.619709	0.012501
77	graph-id-property-wrapped-contains-target-15-targeted	success	0.353375	2.14875	0.248583	2.179375	0.030625
78	graph-id-property-wrapped-contains-target-15-dense	success	1.354834	17.153167	1.408583	17.230042	0.076875
79	graph-id-property-wrapped-contains-target-16-zero	success	13.206	0.490958	12.974542	0.504292	0.013334
80	graph-id-property-wrapped-contains-target-16-targeted	success	0.258167	1.437292	0.271458	1.475125	0.037833
81	graph-id-property-wrapped-contains-target-16-dense	success	1.064875	12.266583	1.016292	12.532375	0.265792
82	graph-id-property-wrapped-contains-target-17-zero	success	14.318209	0.509416	14.063125	0.517292	0.007876
83	graph-id-property-wrapped-contains-target-17-targeted	success	0.259334	1.563791	0.231292	1.597416	0.033625
84	graph-id-property-wrapped-contains-target-17-dense	success	1.151042	15.777084	1.112333	15.926375	0.149291
85	graph-id-property-wrapped-contains-target-18-zero	success	13.461583	0.4895	13.229541	0.492834	0.003334
86	graph-id-property-wrapped-contains-target-18-targeted	success	0.410917	1.505958	0.354458	1.52975	0.023792
87	graph-id-property-wrapped-contains-target-18-dense	success	0.901833	12.700625	0.87825	12.864625	0.164
88	graph-id-property-wrapped-contains-target-19-zero	success	12.677042	0.498917	12.76825	0.518542	0.019625
89	graph-id-property-wrapped-contains-target-19-targeted	success	0.285917	1.457208	0.279458	1.490625	0.033417
90	graph-id-property-wrapped-contains-target-19-dense	success	0.853625	11.645084	0.82275	11.730833	0.085749
91	graph-id-property-wrapped-contains-target-20-zero	success	14.265292	0.514083	13.904583	0.62525	0.111167
92	graph-id-property-wrapped-contains-target-20-targeted	success	0.21725	1.510917	0.237458	1.573375	0.062458
93	graph-id-property-wrapped-contains-target-20-dense	success	0.96525	13.60225	0.87975	13.720042	0.117792
94	graph-id-property-wrapped-contains-target-21-zero	success	13.499083	0.514584	13.207292	0.526291	0.011707
95	graph-id-property-wrapped-contains-target-21-targeted	success	0.240625	1.477584	0.205125	1.527084	0.0495
96	graph-id-property-wrapped-contains-target-21-dense	success	0.906291	12.823875	0.833833	13.302292	0.478417
97	graph-id-property-wrapped-contains-target-22-zero	success	13.199375	0.4865	13.2825	0.544334	0.057834
98	graph-id-property-wrapped-contains-target-22-targeted	success	0.282958	1.477125	0.259041	1.54275	0.065625
99	graph-id-property-wrapped-contains-target-22-dense	success	0.903334	11.719167	0.891	11.976125	0.256958
100	graph-id-property-wrapped-contains-target-23-zero	success	13.004166	0.5215	13.079583	0.533708	0.012208
101	graph-id-property-wrapped-contains-target-23-targeted	success	0.241834	1.523333	0.255916	1.511125	-0.012208
102	graph-id-property-wrapped-contains-target-23-dense	success	0.877083	12.288292	0.837541	12.266125	-0.022167
103	graph-id-property-wrapped-contains-target-24-zero	success	14.317375	0.557833	14.391334	0.524167	-0.033666
104	graph-id-property-wrapped-contains-target-24-targeted	success	0.196583	1.648125	0.214334	1.6315	-0.016625
105	graph-id-property-wrapped-contains-target-24-dense	success	0.962458	15.195958	0.925	15.307708	0.11175
106	graph-id-property-wrapped-contains-target-25-zero	success	14.044667	0.501583	14.066208	0.547	0.045417
107	graph-id-property-wrapped-contains-target-25-targeted	success	0.195875	1.614583	0.202417	1.611833	-0.00275
108	graph-id-property-wrapped-contains-target-25-dense	success	0.887917	14.8405	0.866541	14.937333	0.096833
109	graph-id-property-wrapped-contains-target-26-zero	success	14.999791	0.519667	14.925	0.541042	0.021375
110	graph-id-property-wrapped-contains-target-26-targeted	success	0.206167	1.644625	0.173459	1.686958	0.042333
111	graph-id-property-wrapped-contains-target-26-dense	success	0.949458	15.758709	0.899541	15.886542	0.127833
112	graph-id-property-wrapped-contains-target-27-zero	success	13.774542	0.50325	13.970583	0.533042	0.029792
113	graph-id-property-wrapped-contains-target-27-targeted	success	0.239375	1.561833	0.230792	1.602541	0.040708
114	graph-id-property-wrapped-contains-target-27-dense	success	0.899375	12.282291	0.863209	12.410417	0.128126
115	graph-id-property-wrapped-contains-target-28-zero	success	14.398417	0.508375	14.511209	0.532541	0.024166
116	graph-id-property-wrapped-contains-target-28-targeted	success	0.244667	1.523917	0.173875	1.5365	0.012583
117	graph-id-property-wrapped-contains-target-28-dense	success	0.83875	13.245292	0.785542	13.453208	0.207916
118	graph-id-property-wrapped-contains-target-29-zero	success	12.936958	0.496458	13.181125	0.534083	0.037625
119	graph-id-property-wrapped-contains-target-29-targeted	success	0.184958	1.473792	0.17175	1.467292	-0.0065
120	graph-id-property-wrapped-contains-target-29-dense	success	0.833167	12.970375	0.788875	13.256542	0.286167
121	graph-id-property-wrapped-contains-target-30-zero	success	13.537667	0.500208	13.874708	0.533041	0.032833
122	graph-id-property-wrapped-contains-target-30-targeted	success	0.221	1.562	0.216375	1.566208	0.004208
123	graph-id-property-wrapped-contains-target-30-dense	success	0.851792	12.497542	0.945917	12.592166	0.094624
124	graph-id-property-wrapped-contains-target-31-zero	success	15.9195	0.536541	17.59375	0.55725	0.020709
125	graph-id-property-wrapped-contains-target-31-targeted	success	0.19375	1.675125	0.283125	1.731125	0.056
126	graph-id-property-wrapped-contains-target-31-dense	success	0.951542	17.756041	1.079292	17.655125	-0.100916
127	graph-id-property-wrapped-contains-target-32-zero	success	21.111333	0.5505	24.229042	0.562583	0.012083
128	graph-id-property-wrapped-contains-target-32-targeted	success	0.2625	2.249792	0.2805	2.348375	0.098583
129	graph-id-property-wrapped-contains-target-32-dense	success	1.096375	25.599541	1.289041	25.683375	0.083834
130	graph-id-property-wrapped-contains-target-33-zero	success	17.197917	0.528166	18.912	0.546917	0.018751
131	graph-id-property-wrapped-contains-target-33-targeted	success	0.189833	1.940625	0.229209	1.975292	0.034667
132	graph-id-property-wrapped-contains-target-33-dense	success	0.887167	19.364958	1.002125	19.502542	0.137584
133	graph-id-property-wrapped-contains-target-34-zero	success	19.825417	0.557666	20.212083	0.574709	0.017043
134	graph-id-property-wrapped-contains-target-34-targeted	success	0.196167	2.194625	0.251375	2.222917	0.028292
135	graph-id-property-wrapped-contains-target-34-dense	success	1.029625	22.498167	1.032333	23.006333	0.508166
136	graph-id-property-wrapped-contains-target-35-zero	success	19.694667	0.546958	20.28	0.566875	0.019917
137	graph-id-property-wrapped-contains-target-35-targeted	success	0.18325	2.148667	0.219209	2.228125	0.079458
138	graph-id-property-wrapped-contains-target-35-dense	success	1.042042	23.50775	1.019167	24.31075	0.803
139	graph-id-property-wrapped-contains-target-36-zero	success	18.443875	0.570208	18.377416	0.675541	0.105333
140	graph-id-property-wrapped-contains-target-36-targeted	success	0.200958	2.148833	0.196625	2.104292	-0.044541
141	graph-id-property-wrapped-contains-target-36-dense	success	0.923375	20.074166	0.92225	20.783917	0.709751
142	graph-id-property-wrapped-contains-target-37-zero	success	18.237792	0.551959	18.445958	0.585792	0.033833
143	graph-id-property-wrapped-contains-target-37-targeted	success	0.250584	2.134792	0.273875	2.212375	0.077583
144	graph-id-property-wrapped-contains-target-37-dense	success	0.982667	19.89925	0.95	21.0	1.10075
145	graph-id-property-wrapped-contains-target-38-zero	success	18.960958	0.545208	19.236584	0.70225	0.157042
146	graph-id-property-wrapped-contains-target-38-targeted	success	0.191542	2.120792	0.223584	2.309042	0.18825
147	graph-id-property-wrapped-contains-target-38-dense	success	0.956208	21.435791	0.916625	23.164958	1.729167
148	graph-id-property-wrapped-contains-target-39-zero	success	19.682625	0.580917	20.083792	0.697	0.116083
149	graph-id-property-wrapped-contains-target-39-targeted	success	0.208	2.225209	0.214333	2.28825	0.063041
150	graph-id-property-wrapped-contains-target-39-dense	success	0.908083	21.714959	0.920541	23.086209	1.37125
151	graph-id-property-wrapped-contains-target-40-zero	success	20.852833	0.544708	20.99525	0.668917	0.124209
152	graph-id-property-wrapped-contains-target-40-targeted	success	0.210417	2.21875	0.224208	2.252958	0.034208
153	graph-id-property-wrapped-contains-target-40-dense	success	1.068625	24.413542	1.012292	24.382292	-0.03125
154	graph-id-property-wrapped-contains-target-41-zero	success	19.413708	0.628875	19.61825	0.555833	-0.073042
155	graph-id-property-wrapped-contains-target-41-targeted	success	0.178542	2.26875	0.180083	2.186291	-0.082459
156	graph-id-property-wrapped-contains-target-41-dense	success	1.1875	20.098208	1.00025	19.962959	-0.135249
157	graph-id-property-wrapped-contains-target-42-zero	success	18.908	0.522291	17.91325	0.508333	-0.013958
158	graph-id-property-wrapped-contains-target-42-targeted	success	0.295166	2.094916	0.262375	2.100708	0.005792
159	graph-id-property-wrapped-contains-target-42-dense	success	1.018458	18.18075	0.889167	18.206625	0.025875
160	graph-id-property-wrapped-contains-target-43-zero	success	20.628167	0.527208	19.20575	0.535875	0.008667
161	graph-id-property-wrapped-contains-target-43-targeted	success	0.227959	2.06	0.199625	2.054667	-0.005333
162	graph-id-property-wrapped-contains-target-43-dense	success	1.111875	20.118709	0.991666	19.905	-0.213709
163	graph-id-property-wrapped-contains-target-44-zero	success	20.668834	0.53725	19.340625	0.552	0.01475
164	graph-id-property-wrapped-contains-target-44-targeted	success	0.187083	2.078958	0.186542	2.067959	-0.010999
165	graph-id-property-wrapped-contains-target-44-dense	success	1.02325	22.090625	0.876625	22.899417	0.808792
166	graph-id-property-wrapped-contains-target-45-zero	success	20.666291	0.535166	19.256958	0.654291	0.119125
167	graph-id-property-wrapped-contains-target-45-targeted	success	0.208709	2.192583	0.220833	2.123958	-0.068625
168	graph-id-property-wrapped-contains-target-45-dense	success	1.1115	21.266625	0.942458	21.891708	0.625083
169	graph-id-property-wrapped-contains-target-46-zero	success	20.397167	0.552333	19.039292	0.705209	0.152876
