File: graphite-benchmark-profile
Type: cpu
Time: Sep 8, 2026 at 5:03pm (KST)
Duration: 2.61s, Total samples = 51.70s (1979.82%)
Showing nodes accounting for 51.70s, 100% of 51.70s total
Showing top 100 nodes out of 136
      flat  flat%   sum%        cum   cum%
         0     0%   100%      1.30s  2.51%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).ProjectionString
         0     0%   100%      0.12s  0.23%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).ProjectionStringIDs
         0     0%   100%      0.14s  0.27%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*Store).prepareProjectionOffsets
         0     0%   100%      0.03s 0.058%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).i32
         0     0%   100%      0.05s 0.097%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).method
         0     0%   100%      0.11s  0.21%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).node
         0     0%   100%      0.02s 0.039%  github.com/johnsonlee/graphite/graphite-server/internal/store.(*decoder).u8
         0     0%   100%      0.01s 0.019%  internal/reflectlite.arrayAt
         0     0%   100%      0.01s 0.019%  main.newWorker.func1
         0     0%   100%      0.12s  0.23%  reflect.typedmemmove (inline)
         0     0%   100%      0.01s 0.019%  runtime.(*mcache).nextFree
         0     0%   100%      0.01s 0.019%  runtime.(*mcache).refill
         0     0%   100%      0.01s 0.019%  runtime.(*mcentral).cacheSpan
         0     0%   100%      0.01s 0.019%  runtime.(*mcentral).grow
         0     0%   100%      0.01s 0.019%  runtime.(*mheap).alloc
         0     0%   100%      0.03s 0.058%  runtime.(*mheap).alloc.func1
         0     0%   100%      0.03s 0.058%  runtime.(*mheap).allocSpan
         0     0%   100%      0.01s 0.019%  runtime.(*mheap).initSpan
         0     0%   100%      0.01s 0.019%  runtime.checkRunqsNoP
         0     0%   100%      0.01s 0.019%  runtime.checkTimers
         0     0%   100%      0.04s 0.077%  runtime.convTstring
         0     0%   100%      0.01s 0.019%  runtime.gopreempt_m
         0     0%   100%      0.01s 0.019%  runtime.goschedImpl
         0     0%   100%      0.48s  0.93%  runtime.lock (inline)
         0     0%   100%     17.70s 34.24%  runtime.lock2
         0     0%   100%     17.70s 34.24%  runtime.lockWithRank (inline)
         0     0%   100%      1.79s  3.46%  runtime.mPark (inline)
         0     0%   100%      0.02s 0.039%  runtime.makeslice
         0     0%   100%     33.19s 64.20%  runtime.mcall
         0     0%   100%      0.01s 0.019%  runtime.morestack
         0     0%   100%      0.01s 0.019%  runtime.nanotime
         0     0%   100%      0.01s 0.019%  runtime.newstack
         0     0%   100%      1.79s  3.46%  runtime.notesleep
         0     0%   100%      0.03s 0.058%  runtime.notewakeup
         0     0%   100%     17.09s 33.06%  runtime.osyield (inline)
         0     0%   100%     33.19s 64.20%  runtime.park_m
